,Unnamed: 0,Title,Weekend Gross,Number of cinemas,Site average,Distributor,date
9,9,Gone,275087.0,253.0,1087.300395256917,Entertainment,22-04-2012
10,10,Marley,203062.0,64.0,3172.84375,Universal,22-04-2012
11,11,Wrath of the Titans,195923.0,282.0,694.7624113475177,Warner Bros,22-04-2012
12,12,The Best Exotic Marigold Hotel,193848.0,195.0,994.0923076923076,20th Century Fox,22-04-2012
13,13,Headhunters,142035.0,86.0,1651.5697674418604,Momentum,22-04-2012
14,14,StreetDance 2,82626.0,237.0,348.63291139240505,Vertigo,22-04-2012
0,0,Rampage,1413973.0,566.0,2498.185512367492,Warner Bros,22-04-2018
1,1,A Quiet Place,1024722.0,582.0,1760.6907216494844,Paramount,22-04-2018
2,2,The Guernsey Literary and Potato Peel Pie Society,825777.0,499.0,1654.8637274549098,StudioCanal,22-04-2018
3,3,Ready Player One,503099.0,492.0,1022.558943089431,Warner Bros,22-04-2018
4,4,Peter Rabbit,487412.283897788,631.0,772.4441900123423,Sony Pictures,22-04-2018
5,5,Truth or Dare,401031.0,446.0,899.1726457399103,Universal,22-04-2018
6,6,The Greatest Showman,304478.0,425.0,716.4188235294117,20th Century Fox,22-04-2018
7,7,"Love, Simon",274213.0,469.0,584.6759061833689,20th Century Fox,22-04-2018
8,8,Black Panther,235388.0,230.0,1023.4260869565215,Disney,22-04-2018
9,9,Blade Runner: The Final Cut (Secret Cinema 2018),228962.0,1.0,228962.0,Warner Bros,22-04-2018
10,10,Isle of Dogs,159442.0,360.0,442.8944444444445,20th Century Fox,22-04-2018
11,11,Duck Duck Goose,115644.0,444.0,260.4594594594595,Entertainment,22-04-2018
12,12,Blockers,113814.0,226.0,503.6017699115045,Universal,22-04-2018
13,13,The Leisure Seeker,105129.877353673,374.0,281.0959287531364,Universal,22-04-2018
14,14,Ghost Stories,82479.0,224.0,368.2098214285714,Lionsgate,22-04-2018
0,0,Pirates of the Caribbean: On Stranger Tides,11634860.0,569.0,20447.908611599298,Disney,22-05-2011
1,1,Fast & Furious 5,587617.0,388.0,1514.4768041237114,Universal,22-05-2011
2,2,Thor,528701.0,392.0,1348.7270408163265,Paramount,22-05-2011
3,3,Insidious,451139.0,314.0,1436.748407643312,Momentum,22-05-2011
4,4,Attack the Block,355232.0,327.0,1086.336391437309,Optimum,22-05-2011
5,5,Hanna,286997.0,317.0,905.3533123028392,Universal,22-05-2011
6,6,Rio,284085.0,404.0,703.1806930693069,20th Century Fox,22-05-2011
7,7,Water For Elephants,266345.0,324.0,822.0524691358024,20th Century Fox,22-05-2011
8,8,Blitz,266148.0,258.0,1031.5813953488373,Lions Gate,22-05-2011
9,9,Win Win,155463.0,171.0,909.140350877193,20th Century Fox,22-05-2011
10,10,Something Borrowed,122415.0,183.0,668.9344262295082,Entertainment,22-05-2011
11,11,Fire in Babylon,107312.0,8.0,13414.0,Revolver,22-05-2011
12,12,HOP,63625.0,213.0,298.7089201877934,Universal,22-05-2011
13,13,Julia's Eyes,49142.0,42.0,1170.047619047619,Optimum,22-05-2011
14,14,Rango,40480.0,89.0,454.8314606741573,Paramount,22-05-2011
0,0,X-Men: Apocalypse,7354293.0,598.0,12298.14882943144,20th Century Fox,22-05-2016
1,1,Angry Birds,2012663.0,526.0,3826.355513307985,Sony Picture,22-05-2016
2,2,"Jungle Book, The",1445165.0,568.0,2544.3045774647885,Disney,22-05-2016
3,3,Captain America: Civil War,1334385.0,519.0,2571.069364161849,Disney,22-05-2016
4,4,Bad Neighbours 2,766425.0,455.0,1684.4505494505495,Universal,22-05-2016
5,5,"Hologram For The King, A",378759.0,374.0,1012.7245989304812,Icon,22-05-2016
6,6,Florence Foster Jenkins,243901.0,434.0,561.983870967742,20th Century Fox,22-05-2016
7,7,Our Kind Of Traitor,211790.0,256.0,827.3046875,StudioCanal,22-05-2016
8,8,28 Days Later (Secret Cinema 2016),165128.0,1.0,165128.0,20th Century Fox,22-05-2016
9,9,Thomas & Friends: The Great Race,147617.0,292.0,505.53767123287673,National Amusements,22-05-2016
10,10,Sing Street,126269.0,85.0,1485.5176470588235,Lionsgate,22-05-2016
11,11,Planeta Singli,95159.0,57.0,1669.4561403508771,Phoenix,22-05-2016
12,12,Zootropolis,90595.0,265.0,341.8679245283019,Disney,22-05-2016
13,13,Eye In The Sky,87666.0,185.0,473.8702702702703,eOne Films,22-05-2016
14,14,Everybody Wants Some!!,71182.0,121.0,588.2809917355372,eOne Films,22-05-2016
0,0,Doctor Strange In The Multiverse Of Madness,2968358.0,699.0,4247.0,Disney,22-05-2022
1,1,Everything Everywhere All At Once,839974.0,495.0,1697.0,A24,22-05-2022
2,2,Downton Abbey: A New Era,757303.0,700.0,1082.0,Universal,22-05-2022
3,3,Sonic The Hedgehog 2,423552.0,582.0,728.0,Paramount,22-05-2022
4,4,The Lost City,357144.0,469.0,762.0,Paramount,22-05-2022
5,5,The Bad Guys,318723.0,561.0,568.0,Universal,22-05-2022
6,6,Fantastic Beasts: The Secrets Of Dumbledore,237161.0,429.0,553.0,Warner Bros,22-05-2022
7,7,Bhool Bhulaiyaa 2,123161.0,60.0,2053.0,Rising Star Entertainment,22-05-2022
8,8,Firestarter,117536.0,435.0,270.0,Universal,22-05-2022
9,9,Benediction,100635.0,238.0,423.0,Vertigo,22-05-2022
10,10,The Northman,95939.0,274.0,350.0,Universal,22-05-2022
11,11,Operation Mincemeat,91973.0,315.0,292.0,Warner Bros,22-05-2022
12,12,Saunkan Saunkane,90601.0,39.0,2323.0,White Hill Studios,22-05-2022
13,13,Lucia Di Lammermoor - Met Opera 2022 (Opera),78829.0,141.0,559.0,Trafalgar,22-05-2022
14,14,The Quiet Girl (An Cailin Ciuin),75985.0,101.0,752.0,Curzon,22-05-2022
0,0,The Incredible Hulk,1870800.0,483.0,3873.291925465839,Universal,22-06-2008
1,1,Indiana Jones & the Kingdom of the Crystal Skull,1457710.0,493.0,2956.815415821501,Paramount,22-06-2008
2,2,Sex and the City,1210550.0,465.0,2603.333333333333,Entertainment,22-06-2008
3,3,Adulthood,1203319.0,157.0,7664.452229299363,Pathé,22-06-2008
4,4,The Happening,834624.0,393.0,2123.7251908396947,20th Century Fox,22-06-2008
5,5,Superhero Movie,502329.0,362.0,1387.6491712707182,Momentum,22-06-2008
6,6,Teeth,235658.0,188.0,1253.5,Momentum,22-06-2008
7,7,"Gone, Baby, Gone",199642.0,148.0,1348.9324324324325,Disney,22-06-2008
8,8,The Edge of Love,180837.0,52.0,3477.6346153846152,Lions Gate,22-06-2008
9,9,The Ruins,123507.0,168.0,735.1607142857143,Paramount,22-06-2008
10,10,Prom Night,110955.0,184.0,603.0163043478261,Sony,22-06-2008
11,11,Iron Man,109231.0,168.0,650.1845238095239,Paramount,22-06-2008
12,12,Nim's Island,93032.0,205.0,453.8146341463415,Universal,22-06-2008
13,13,What Happens in Vegas…,84264.0,87.0,968.551724137931,20th Century Fox,22-06-2008
14,14,Mongol: The Rise to Power of Genghis Khan,82733.0,70.0,1181.9,The Works UK,22-06-2008
0,0,The Fault in Our Stars,3434334.0,511.0,6720.810176125245,20th Century Fox,22-06-2014
1,1,22 Jump Street,1530775.0,485.0,3156.237113402062,Sony Pictures,22-06-2014
2,2,Maleficent,970381.0,543.0,1787.073664825046,Disney,22-06-2014
3,3,X-Men: Days of Future Past,564649.0,429.0,1316.198135198135,20th Century Fox,22-06-2014
4,4,Edge of Tomorrow,515352.0,371.0,1389.088948787062,Warner Bros,22-06-2014
5,5,Jersey Boys,415608.0,448.0,927.6964285714286,Warner Bros,22-06-2014
6,6,3 Days to Kill,324560.0,345.0,940.7536231884058,eOne Films,22-06-2014
7,7,Belle,203543.0,391.0,520.5703324808184,20th Century Fox,22-06-2014
8,8,Oculus,196422.0,362.0,542.6022099447514,Warner Bros,22-06-2014
9,9,Humshakals,129181.0,70.0,1845.442857142857,20th Century Fox,22-06-2014
10,10,Godzilla,102107.0,197.0,518.3096446700507,Warner Bros,22-06-2014
11,11,A Million Ways to Die in the West,46942.0,122.0,384.7704918032787,Universal,22-06-2014
12,12,Postman Pat,46101.0,390.0,118.20769230769233,Lionsgate,22-06-2014
13,13,Rio 2,45400.0,261.0,173.9463601532567,20th Century Fox,22-06-2014
14,14,Muppets Most Wanted,41690.0,292.0,142.77397260273972,Disney,22-06-2014
0,0,Harry Potter and the Order of the Phoenix,6639973.0,566.0,11731.401060070672,Warner,22-07-2007
1,1,Hairspray,2045912.0,348.0,5879.057471264367,Entertainment,22-07-2007
2,2,Shrek the Third,1620059.0,491.0,3299.50916496945,Paramount,22-07-2007
3,3,Die Hard 4.0,1067729.0,457.0,2336.387308533917,20th Century Fox,22-07-2007
4,4,Partner,236766.0,43.0,5506.186046511628,Eros,22-07-2007
5,5,Firehouse Dog,90730.0,203.0,446.9458128078818,20th Century Fox,22-07-2007
6,6,Fantastic Four: Rise of the Silver Surfer ,82625.0,233.0,354.6137339055794,20th Century Fox,22-07-2007
7,7,Ocean's Thirteen,75385.0,116.0,649.8706896551724,Warner,22-07-2007
8,8,La Vie En Rose,61299.0,59.0,1038.966101694915,Icon,22-07-2007
9,9,Moliere,50641.0,51.0,992.9607843137256,Pathé,22-07-2007
10,10,Tell No One,41795.0,27.0,1547.962962962963,Revolver,22-07-2007
11,11,Pirates of the Caribbean: At World's End,36584.0,95.0,385.0947368421053,BVI,22-07-2007
12,12,Hostel 2,35972.0,97.0,370.8453608247423,Sony,22-07-2007
13,13,Naqaab,19813.0,24.0,825.5416666666666,Tip Top,22-07-2007
14,14,Kireedom,19451.0,5.0,3890.2,Ayngaran,22-07-2007
0,0,The Dark Knight Rises,14362443.0,594.0,24179.196969696968,Warner Bros,22-07-2012
1,1,Ice Age: Continental Drift,2112021.0,530.0,3984.945283018868,20th Century Fox,22-07-2012
2,2,The Amazing Spider-Man,1051641.0,509.0,2066.092337917485,Sony Pictures,22-07-2012
3,3,Magic Mike,885330.0,453.0,1954.3708609271523,Lions Gate,22-07-2012
4,4,The Five-Year Engagement,77158.0,158.0,488.34177215189874,Universal,22-07-2012
5,5,Cocktail,70212.0,57.0,1231.7894736842106,Eros,22-07-2012
6,6,Seeking a Friend for the End of the World,59788.0,182.0,328.5054945054945,StudioCanal,22-07-2012
7,7,Men in Black 3,55680.0,197.0,282.6395939086294,Sony Pictures,22-07-2012
8,8,Prometheus,39075.0,94.0,415.6914893617021,20th Century Fox,22-07-2012
9,9,Katy Perry: Part of Me,38327.0,180.0,212.92777777777775,Paramount,22-07-2012
10,10,Think Like a Man,32349.0,19.0,1702.578947368421,Sony Pictures,22-07-2012
11,11,The Angels' Share,29522.0,33.0,894.6060606060606,eOne Films,22-07-2012
12,12,Top Cat - The Movie,28871.0,142.0,203.31690140845072,Vertigo,22-07-2012
13,13,Snow White and the Huntsman,26792.0,88.0,304.45454545454544,Universal,22-07-2012
14,14,Something from Nothing: The Art of Rap,24376.0,7.0,3482.285714285714,Kaleidoscope,22-07-2012
0,0,Mamma Mia: Here we Go Again!,9735930.69457363,702.0,13868.84714326728,Universal,22-07-2018
1,1,Incredibles 2,6803384.0,650.0,10466.744615384616,Disney,22-07-2018
2,2,Skyscraper,892723.0,497.0,1796.2233400402415,Universal,22-07-2018
3,3,Jurassic World: Fallen Kingdom,618226.0,403.0,1534.0595533498758,Universal,22-07-2018
4,4,The First Purge,506578.0,311.0,1628.8681672025723,Universal,22-07-2018
5,5,Hotel Artemis,357261.0,312.0,1145.0673076923076,Warner Bros,22-07-2018
6,6,Ocean's 8,270273.0,265.0,1019.8981132075472,Warner Bros,22-07-2018
7,7,Spitfire,211464.0,6.0,35244.0,Altitude,22-07-2018
8,8,Thomas & Friends: Big World! Big Adventures! The Movie,125081.115582202,374.0,334.4414855139091,National Amusements UK,22-07-2018
9,9,Dhadak,111941.0,62.0,1805.5,Zee Studios,22-07-2018
10,10,Sherlock Gnomes,74061.0,370.0,200.16486486486485,Paramount,22-07-2018
11,11,Sicario 2: Soldado,53084.0,85.0,624.5176470588235,Lionsgate,22-07-2018
12,12,Hereditary,51824.0,102.0,508.078431372549,Entertainment,22-07-2018
13,13,Teefa in Trouble,46513.460000012,35.0,1328.9560000003428,Yash Raj,22-07-2018
14,14,First Reformed,46330.0,46.0,1007.1739130434784,Picture House Entertainment,22-07-2018
0,0,The Expendables,3935700.0,453.0,8688.079470198676,Lions Gate,22-08-2010
1,1,Salt,2166715.0,346.0,6262.182080924856,Sony Pictures,22-08-2010
2,2,Toy Story 3,2107815.0,557.0,3784.228007181328,Disney,22-08-2010
3,3,Piranha 3-D,1325324.0,354.0,3743.853107344633,Entertainment,22-08-2010
4,4,Marmaduke,1243789.0,377.0,3299.1750663129974,20th Century Fox,22-08-2010
5,5,Inception,1076106.0,419.0,2568.272076372315,Warner Bros,22-08-2010
6,6,Knight & Day,825692.0,432.0,1911.324074074074,20th Century Fox,22-08-2010
7,7,The Last Airbender,591587.0,440.0,1344.5159090909092,Paramount,22-08-2010
8,8,Step Up 3,511366.0,350.0,1461.0457142857142,Universal,22-08-2010
9,9,The Sorcerer's Apprentice,444112.0,393.0,1130.0559796437658,Disney,22-08-2010
10,10,Karate Kid,382276.0,369.0,1035.9783197831978,Sony Pictures,22-08-2010
11,11,The A-Team,333549.0,336.0,992.7053571428572,20th Century Fox,22-08-2010
12,12,Cats & Dogs: Revenge of Kitty Galore,194751.0,363.0,536.5041322314049,Warner Bros,22-08-2010
13,13,Tinker Bell and the Great Fairy Rescue,182928.0,235.0,778.4170212765957,Disney,22-08-2010
14,14,The Illusionist,164950.0,42.0,3927.380952380952,Warner Bros,22-08-2010
0,0,Free Guy,2267660.0,652.0,3478.0,Disney,22-08-2021
1,1,The Paw Patrol Movie,1033099.0,630.0,1640.0,Paramount,22-08-2021
2,2,People Just Do Nothing: Big In Japan,896992.0,446.0,2011.0,Universal,22-08-2021
3,3,The Suicide Squad,654604.0,557.0,1175.0,Warner Bros,22-08-2021
4,4,Jungle Cruise,653217.0,584.0,1119.0,Disney,22-08-2021
5,5,Snake Eyes,542265.0,520.0,1043.0,Paramount,22-08-2021
6,6,Space Jam: A New Legacy,435781.0,545.0,800.0,Warner Bros,22-08-2021
7,7,The Croods 2: A New Age,410507.0,580.0,708.0,Universal,22-08-2021
8,8,The Night House,315610.0,352.0,897.0,Disney,22-08-2021
9,9,The Courier,276792.0,377.0,734.0,Lionsgate,22-08-2021
10,10,Reminiscence,260272.0,524.0,497.0,Warner Bros,22-08-2021
11,11,Spirit Untamed,181443.0,515.0,352.0,Universal,22-08-2021
12,12,Don't Breathe 2,150861.0,313.0,482.0,Sony Pictures,22-08-2021
13,13,Around The World In 80 Days,120726.0,406.0,297.0,Vertigo,22-08-2021
14,14,Black Widow,110611.0,223.0,496.0,Disney,22-08-2021
0,0,Rush,1336449.0,464.0,2880.2780172413795,StudioCanal,22-09-2013
1,1,Insidious 2,1076295.0,431.0,2497.2041763341067,eOne,22-09-2013
2,2,White House Down,710772.0,418.0,1700.4114832535886,Sony Pictures,22-09-2013
3,3,About Time,701473.0,469.0,1495.678038379531,Universal,22-09-2013
4,4,Diana,623051.0,523.0,1191.302103250478,eOne,22-09-2013
5,5,Justin and the Knights of Valour,512671.0,448.0,1144.3549107142858,eOne,22-09-2013
6,6,R.I.P.D.,506521.0,375.0,1350.7226666666666,Universal,22-09-2013
7,7,The Call,409975.0,320.0,1281.171875,Warner Bros,22-09-2013
8,8,One Direction: This is Us,365148.0,411.0,888.4379562043796,Sony Pictures,22-09-2013
9,9,We're the Millers,343877.0,288.0,1194.017361111111,Warner Bros,22-09-2013
10,10,Planes,232282.0,436.0,532.756880733945,Disney,22-09-2013
11,11,Despicable Me 2,220262.0,362.0,608.4585635359116,Universal,22-09-2013
12,12,Elysium,175149.0,179.0,978.4860335195532,Sony Pictures,22-09-2013
13,13,Riddick,130007.0,211.0,616.1469194312796,eOne,22-09-2013
14,14,Monsters University,128367.0,281.0,456.8220640569395,Disney,22-09-2013
0,0,Downton Abbey,3280442.0,736.0,4457.0,Universal,22-09-2019
1,1,Ad Astra,2265387.0,616.0,3678.0,20th Century Fox,22-09-2019
2,2,It: Chapter Two,1387429.0,562.0,2469.0,Warner Bros,22-09-2019
3,3,Rambo: Last Blood,1075071.0,509.0,2112.0,Lionsgate,22-09-2019
4,4,Hustlers,1056801.0,484.0,2183.0,STX Entertainment,22-09-2019
5,5,The Lion King,373124.0,553.0,675.0,Disney,22-09-2019
6,6,Casino Royale (Secret Cinema 2019),345878.0,1.0,345878.0,Independent,22-09-2019
7,7,Once Upon A Time In Hollywood,277444.0,362.0,766.0,Sony Pictures,22-09-2019
8,8,Dora & The Lost City Of Gold,273519.0,499.0,548.0,Paramount,22-09-2019
9,9,Toy Story 4,256654.0,507.0,506.0,Disney,22-09-2019
10,10,The Farewell,207356.0,99.0,2095.0,Entertainment,22-09-2019
11,11,Fleabag - NT Live 2019 (Theatre),177285.0,59.0,3005.0,National Theatre,22-09-2019
12,12,Angel Has Fallen,171570.0,270.0,635.0,Lionsgate,22-09-2019
13,13,The Kitchen,107929.0,335.0,322.0,Warner Bros,22-09-2019
14,14,Angry Birds 2,106822.0,290.0,368.0,Sony Pictures,22-09-2019
0,0,Blade Runner 2049,1791027.0,617.0,2902.799027552674,Sony Pictures,22-10-2017
1,1,Geostorm,1625895.0,477.0,3408.584905660377,Warner Bros,22-10-2017
2,2,The LEGO Ninjago Movie,1346411.0,623.0,2161.1733547351523,Warner Bros,22-10-2017
3,3,Happy Death Day,998388.479834986,416.0,2399.9723072956394,Universal,22-10-2017
4,4,The Death of Stalin,995458.0,138.0,7213.463768115942,eOne Films,22-10-2017
5,5,My Little Pony,916123.0,531.0,1725.2787193973636,Lionsgate,22-10-2017
6,6,Kingsman: The Golden Circle,884067.0,451.0,1960.237250554324,20th Century Fox,22-10-2017
7,7,The Snowman,591453.0,528.0,1120.1761363636365,Universal,22-10-2017
8,8,Mersal,362593.0,40.0,9064.825,Murugan Talkies,22-10-2017
9,9,Secret Superstar,272554.0,141.0,1933.0070921985816,Zee Studios,22-10-2017
10,10,The Mountain Between Us,271905.262996288,368.0,738.8729972725217,20th Century Fox,22-10-2017
11,11,Golmaal Again,205544.736478852,107.0,1920.978845596748,Reliance Big Pictures ,22-10-2017
12,12,The Party,183488.0,94.0,1952.0,Picture House Entertainment,22-10-2017
13,13,It,177566.0,237.0,749.2236286919831,Warner Bros,22-10-2017
14,14,Victoria and Abdul,169382.0,217.0,780.5622119815669,Universal,22-10-2017
0,0,The Twilight Saga: New Moon,11683158.0,497.0,23507.3601609658,E1 Films,22-11-2009
1,1,2012,3496202.0,478.0,7314.230125523012,Sony Pictures,22-11-2009
2,2,A Christmas Carol,2224044.0,429.0,5184.251748251748,Disney,22-11-2009
3,3,Harry Brown,724627.0,354.0,2046.9689265536724,Lions Gate,22-11-2009
4,4,Up,642134.0,445.0,1442.9977528089887,Disney,22-11-2009
5,5,Fantastic Mr. Fox,454088.0,446.0,1018.134529147982,20th Century Fox,22-11-2009
6,6,The Men Who Stare at Goats,430319.0,313.0,1374.8210862619808,Momentum,22-11-2009
7,7,A Serious Man,321114.0,50.0,6422.28,Universal,22-11-2009
8,8,The Fourth Kind,181105.0,235.0,770.6595744680851,Entertainment,22-11-2009
9,9,The Informant!,179612.0,116.0,1548.3793103448277,Warner Bros,22-11-2009
10,10,Kurbaan,164468.0,44.0,3737.909090909091,UTV,22-11-2009
11,11,Michael Jackson's This Is It,112767.0,246.0,458.4024390243902,Sony Pictures,22-11-2009
12,12,An Education,106457.0,105.0,1013.8761904761903,E1 Films,22-11-2009
13,13,Bright Star,73777.0,70.0,1053.9571428571428,Warner Bros,22-11-2009
14,14,The White Ribbon,63016.0,22.0,2864.3636363636365,Artificial Eye,22-11-2009
0,0,"The Hunger Games: Mockingjay, Part 2",11255566.0,576.0,19540.913194444445,Lionsgate,22-11-2015
1,1,SPECTRE,3821156.0,607.0,6295.1499176276775,Sony Pictures,22-11-2015
2,2,The Lady in the Van,1609943.0,549.0,2932.500910746812,Sony Pictures,22-11-2015
3,3,Hotel Transylvania 2,539251.0,527.0,1023.246679316888,Sony Pictures,22-11-2015
4,4,Brooklyn,409100.0,373.0,1096.7828418230563,Lionsgate,22-11-2015
5,5,Steve Jobs,404026.0,393.0,1028.0559796437658,Universal,22-11-2015
6,6,The Dressmaker,235968.0,202.0,1168.1584158415842,Entertainment,22-11-2015
7,7,Pan,230282.0,431.0,534.2969837587007,Warner Bros,22-11-2015
8,8,Prem Ratan Dhan Payo,217514.0,100.0,2175.14,20th Century Fox,22-11-2015
9,9,The Perfect Guy,102924.0,102.0,1009.0588235294118,Sony Pictures,22-11-2015
10,10,The Martian,102322.0,150.0,682.1466666666666,20th Century Fox,22-11-2015
11,11,Lulu - Met Opera 2015 (Opera),92708.0,162.0,572.2716049382716,By Experience,22-11-2015
12,12,Suffragette,65973.0,173.0,381.3468208092485,20th Century Fox,22-11-2015
13,13,Inside Out,56626.0,255.0,222.0627450980392,Disney,22-11-2015
14,14,Love,43321.0,13.0,3332.3846153846152,Curzon/Artificial Eye,22-11-2015
0,0,Two By Two: Overboard!,3422.0,16.0,214.0,eOne Films,22-11-2020
1,1,The Secret Garden,2635.0,13.0,203.0,Sky Cinema,22-11-2020
2,2,Collective,1926.0,1.0,1926.0,Dogwoof,22-11-2020
3,3,Honest Thief,1910.0,10.0,191.0,Signature Entertainment,22-11-2020
4,4,A Christmas Gift From Bob,1758.0,12.0,146.0,Lionsgate,22-11-2020
5,5,War Horse - NT Live 2020 (Theatre),1496.0,5.0,299.0,National Theatre,22-11-2020
6,6,The Kid Detective,1478.0,11.0,134.0,Sony Pictures,22-11-2020
7,7,Tenet,1212.0,2.0,606.0,Warner Bros,22-11-2020
8,8,Cats & Dogs: Paws Unite!,1212.0,9.0,135.0,Warner Bros,22-11-2020
9,9,Grease (40th Anniversary),1174.0,2.0,587.0,Park Circus,22-11-2020
10,10,Uncle Vanya (Theatre),1072.0,3.0,357.0,More2Screen,22-11-2020
11,11,The Goonies (4K Restoration),738.0,2.0,369.0,Warner Bros,22-11-2020
12,12,100% Wolf,685.0,3.0,228.0,Vertigo,22-11-2020
13,13,Elf (Re: 2019),650.0,2.0,325.0,Park Circus,22-11-2020
14,14,Spies In Disguise,640.0,2.0,320.0,Disney,22-11-2020
0,0,The Hobbit: The Desolation of Smaug,5358380.0,594.0,9020.841750841751,Warner Bros,22-12-2013
1,1,Anchorman 2: The Legend Continues,4545934.0,459.0,9903.995642701526,Paramount,22-12-2013
2,2,Frozen,3919280.0,567.0,6912.310405643739,Disney,22-12-2013
3,3,Walking with Dinosaurs,982023.0,448.0,2192.015625,20th Century Fox,22-12-2013
4,4,Dhoom 3,884567.0,97.0,9119.247422680412,Yashraj,22-12-2013
5,5,The Hunger Games: Catching Fire,775379.0,425.0,1824.4211764705883,Lionsgate,22-12-2013
6,6,The Harry Hill Movie,549736.0,330.0,1665.8666666666666,Entertainment,22-12-2013
7,7,Moshi Monsters: The Movie,334748.0,408.0,820.4607843137255,Universal,22-12-2013
8,8,Gravity,328292.0,270.0,1215.8962962962962,Warner Bros,22-12-2013
9,9,Saving Mr. Banks,206965.0,208.0,995.0240384615385,Disney,22-12-2013
10,10,It's a Wonderful Life (Re: 2007),134445.0,70.0,1920.642857142857,Park Circus,22-12-2013
11,11,Sleeping Beauty - Bolshoi 2011 (Ballet),86942.0,78.0,1114.6410256410256,Picture House Entertainment,22-12-2013
12,12,Free Birds,63437.0,269.0,235.8252788104089,eOne Films,22-12-2013
13,13,The Butler,44810.0,53.0,845.4716981132076,Entertainment,22-12-2013
14,14,American Hustle,39595.0,1.0,39595.0,Entertainment,22-12-2013
0,0,Star Wars: The Rise Of Skywalker,20864500.0,740.0,28195.0,Disney,22-12-2019
1,1,Cats,3207471.0,615.0,5215.0,Universal,22-12-2019
2,2,Jumanji: The Next Level,2932285.0,614.0,4776.0,Sony Pictures,22-12-2019
3,3,Frozen 2,2168359.0,695.0,3120.0,Disney,22-12-2019
4,4,Last Christmas,807105.0,488.0,1654.0,Universal,22-12-2019
5,5,Knives Out,430200.0,382.0,1126.0,Lionsgate,22-12-2019
6,6,Dabangg 3,215665.0,67.0,3219.0,Yash Raj,22-12-2019
7,7,It's a Wonderful Life (4K Restoration),147766.0,85.0,1738.0,Park Circus,22-12-2019
8,8,Blue Story,56775.0,69.0,823.0,Paramount,22-12-2019
9,9,Abominable,54138.0,245.0,221.0,Universal,22-12-2019
10,10,Elf (Re: 2019),44107.0,137.0,322.0,Park Circus,22-12-2019
11,11,The Muppet Christmas Carol (Re: 2017),36830.0,34.0,1083.0,Park Circus,22-12-2019
12,12,Home Alone 2: Lost In New York (Re: 2018),31561.0,34.0,928.0,Park Circus,22-12-2019
13,13,Black Christmas,27975.0,191.0,146.0,Universal,22-12-2019
14,14,Shaun The Sheep Movie: Farmageddon,27312.0,135.0,202.0,StudioCanal,22-12-2019
0,0,The King's Speech,4226074.0,502.0,8418.0,Momentum,23-01-2011
1,1,Black Swan,2762429.0,356.0,7760.0,20th Century Fox,23-01-2011
2,2,The Green Hornet,1187652.0,431.0,2756.0,Sony Pictures,23-01-2011
3,3,The Dilemma,1102798.0,419.0,2632.0,Universal,23-01-2011
4,4,Gulliver's Travels,992382.0,483.0,2055.0,20th Century Fox,23-01-2011
5,5,127 Hours,805418.0,346.0,2328.0,Warner Bros,23-01-2011
6,6,Little Fockers,685046.0,390.0,1757.0,Paramount,23-01-2011
7,7,Morning Glory,524356.0,374.0,1402.0,Paramount,23-01-2011
8,8,Harry Potter - Deathly Hallows: Part 1,346787.0,286.0,1213.0,Warner Bros,23-01-2011
9,9,N.E.D.S.,283210.0,72.0,3933.0,Eone,23-01-2011
10,10,Love and Other Drugs,253638.0,263.0,964.0,20th Century Fox,23-01-2011
11,11,Chronicles of Narnia: Voyage of the Dawn Treader,243170.0,333.0,730.0,20th Century Fox,23-01-2011
12,12,The Next Three Days,197568.0,243.0,813.0,Lionsgate,23-01-2011
13,13,Megamind,195819.0,298.0,657.0,Paramount,23-01-2011
14,14,Tron Legacy,160156.0,113.0,1417.0,Disney,23-01-2011
0,0,Spider-Man: No Way Home,2335488.0,655.0,3566.0,Sony Pictures,23-01-2022
1,1,Belfast,2322572.0,704.0,3299.0,Universal,23-01-2022
2,2,Scream,1251812.0,606.0,2066.0,Paramount,23-01-2022
3,3,Nightmare Alley,550868.0,568.0,970.0,Disney,23-01-2022
4,4,Clifford The Big Red Dog,460618.0,597.0,772.0,eOne Films,23-01-2022
5,5,The King's Man,389508.0,438.0,889.0,Disney,23-01-2022
6,6,Encanto,223672.0,459.0,487.0,Disney,23-01-2022
7,7,Licorice Pizza,198977.0,444.0,448.0,Universal,23-01-2022
8,8,West Side Story,198132.0,370.0,535.0,Disney,23-01-2022
9,9,The Matrix: Resurrections,160146.0,304.0,527.0,Warner Bros,23-01-2022
10,10,House Of Gucci,102014.0,153.0,667.0,Universal,23-01-2022
11,11,Ghostbusters: Afterlife,59197.0,214.0,277.0,Sony Pictures,23-01-2022
12,12,The 355,58137.0,196.0,297.0,Universal,23-01-2022
13,13,A Journal For Jordan,50511.0,194.0,260.0,Sony Pictures,23-01-2022
14,14,Jewels - Bolshoi Ballet 2022 (Ballet),48195.0,137.0,352.0,Trafalgar,23-01-2022
0,0,The Lego Movie,5978904.0,552.0,10831.347826086956,Warner Bros,23-02-2014
1,1,Mr. Peabody and Sherman,1698483.0,529.0,3210.742911153119,20th Century Fox,23-02-2014
2,2,Tinker Bell and the Pirate Fairy,1207245.0,423.0,2854.0070921985816,Disney,23-02-2014
3,3,The Monuments Men,1110264.0,521.0,2131.024952015355,20th Century Fox,23-02-2014
4,4,RoboCop,891443.0,425.0,2097.5129411764706,StudioCanal,23-02-2014
